   4.332728     0.0000002205 -1q  0n
   4.332728     0.0000002244 -1q  1n
   4.332728     0.0000087109 -1q  2n
   4.332728     0.0000085032 -1q  3n
   4.332728     0.0000057838 -1q  4n
   4.332728     0.0000057496 -1q  5n
   4.332728     0.0000156555 -1q  6n
   4.332728     0.0000182568 -1q  7n
   4.332728     0.0003501369 -1q  8n
   4.332728     0.0003536945 -1q  9n
   4.332728     0.0000114138 -1q 10n
   4.332728     0.0000116138 -1q 11n
   4.332728     0.0000751404 -1q 12n
   4.332728     0.0000733490 -1q 13n
   4.332728     0.0000083152 -1q 14n
   4.332728     0.0000082661 -1q 15n
   4.332728     0.0000000000 -1q 16n
   4.332728     0.0000000000 -1q 17n
   4.332728     0.0000000000 -1q 18n
   4.332728     0.0000000000 -1q 19n
   4.332728     0.0000000000 -1q 20n
   4.332728     0.0000000000 -1q 21n
   4.332728     0.0000000000 -1q 22n
   4.332728     0.0000000000 -1q 23n
   4.332728     0.0000000000 -1q 24n
   4.332728     0.0000000000 -1q 25n
   4.332728     0.0000000000 -1q 26n
   4.332728     0.0000000000 -1q 27n
   4.332728     0.0000000000 -1q 28n
   4.332728     0.0000000000 -1q 29n
   4.332728     0.0000000000 -1q 30n
   4.332728     0.0000000000 -1q 31n
   4.332728     0.0000000000 -1q 32n
   4.332728     0.0000000000 -1q 33n
   4.332728     0.0000000000 -1q 34n
   4.332728     0.0000000000 -1q 35n
   4.332728     0.0000000000 -1q 36n
   4.332728     0.0000000000 -1q 37n
   4.332728     0.0000000000 -1q 38n
   4.332728     0.0000000000 -1q 39n
   4.332728     0.0000000000 -1q 40n
   4.332728     0.0000000000 -1q 41n
   4.332728     0.0000121773  0q  0n
   4.332728     0.0000123010  0q  1n
   4.332728     0.0000008821  0q  2n
   4.332728     0.0000008976  0q  3n
   4.332728     0.0000087109  0q  4n
   4.332728     0.0000085032  0q  5n
   4.332728     0.0000000000  0q  6n
   4.332728     0.0000000000  0q  7n
   4.332728     0.0000052185  0q  8n
   4.332728     0.0000060856  0q  9n
   4.332728     0.0002801095  0q 10n
   4.332728     0.0002829556  0q 11n
   4.332728     0.0000171207  0q 12n
   4.332728     0.0000174208  0q 13n
   4.332728     0.0002003743  0q 14n
   4.332728     0.0001955972  0q 15n
   4.332728     0.0000415760  0q 16n
   4.332728     0.0000413304  0q 17n
   4.332728     0.0000000000  0q 18n
   4.332728     0.0000000000  0q 19n
   4.332728     0.0000000000  0q 20n
   4.332728     0.0000000000  0q 21n
   4.332728     0.0000000000  0q 22n
   4.332728     0.0000000000  0q 23n
   4.332728     0.0000000000  0q 24n
   4.332728     0.0000000000  0q 25n
   4.332728     0.0000000000  0q 26n
   4.332728     0.0000000000  0q 27n
   4.332728     0.0000000000  0q 28n
   4.332728     0.0000000000  0q 29n
   4.332728     0.0000000000  0q 30n
   4.332728     0.0000000000  0q 31n
   4.332728     0.0000000000  0q 32n
   4.332728     0.0000000000  0q 33n
   4.332728     0.0000000000  0q 34n
   4.332728     0.0000000000  0q 35n
   4.332728     0.0000000000  0q 36n
   4.332728     0.0000000000  0q 37n
   4.332728     0.0000000000  0q 38n
   4.332728     0.0000000000  0q 39n
   4.332728     0.0000000000  0q 40n
   4.332728     0.0000000000  0q 41n
   4.332728     0.0000007260  1q  0n
   4.332728     0.0000008466  1q  1n
   4.332728     0.0000121773  1q  2n
   4.332728     0.0000123010  1q  3n
   4.332728     0.0000002205  1q  4n
   4.332728     0.0000002244  1q  5n
   4.332728     0.0000000000  1q  6n
   4.332728     0.0000000000  1q  7n
   4.332728     0.0000000000  1q  8n
   4.332728     0.0000000000  1q  9n
   4.332728     0.0000010437  1q 10n
   4.332728     0.0000012171  1q 11n
   4.332728     0.0001050411  1q 12n
   4.332728     0.0001061083  1q 13n
   4.332728     0.0000114138  1q 14n
   4.332728     0.0000116138  1q 15n
   4.332728     0.0002504678  1q 16n
   4.332728     0.0002444965  1q 17n
   4.332728     0.0001247279  1q 18n
   4.332728     0.0001239911  1q 19n
